"","Road","Description","LRP.start","Offset.start","Chainage.start","LRP.end","Offset.end","Chainage.end","Length (km)","Heavy Truck","Medium Truck","Small Truck","Large Bus","Medium Bus","Micro Bus","Utility","Car","Auto Rickshaw","Motor Cycle","Bi-Cycle","Cycle Rickshaw","Cart","Motorized","Non Motorized","Total AADT","Segment","Side","PCE"
"74","N1","Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong)","LRP225","6400","228.406","LRP225","10748","232.754","4.348","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","37","NA",13797.804
"75","N1","Chittagong (Badderhat)-Maizzertek int with Z1804","LRP225","10748","232.754","LRP251","496","247.893","15.139","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","38","NA",13797.804
"76","N1","Maizzertek Int with Z1804-Sikolbaha Int with Z1018","LRP251","496","247.893","LRP251","3048","250.445","2.552","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","39","NA",13797.804
"77","N1","Sikolbaha Int with Z1018-Santirhat Int. with Z1071","LRP251","3048","250.445","LRP251","5559","252.956","2.511","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","40","NA",13797.804
"78","N1","Santirhat Int. with Z1071 - Int. with Z1070","LRP251","5559","252.956","LRP259","726","255.725","2.769","21.0","1105.0","808.0","898.0","621.0","987.0","194.0","694.0","2994.0","581.0","221.0","426.0","0.0","8903.0","647.0","9550.0","41","NA",13797.804
"79","N1","Int. with Z1070 - Mansertek(Int.with N107)","LRP259","726","255.725","LRP259","1810","256.809","1.084","30.0","1077.0","795.0","994.0","658.0","1483.0","305.0","658.0","3125.0","536.0","207.0","240.0","7.0","9661.0","454.0","10115.0","42","NA",15388.628
"80","N1","Mansertek(Int.with N107)- Patiya (Int.with Z1059)","LRP259","1810","256.809","LRP264","3734","263.744","6.935","30.0","1077.0","795.0","994.0","658.0","1483.0","305.0","658.0","3125.0","536.0","207.0","240.0","7.0","9661.0","454.0","10115.0","43","NA",15388.628
"81","N1","Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057)","LRP264","3734","263.744","LRP264","4060","264.07","0.326","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","44","NA",17627.096
"82","N1","Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039)","LRP264","4060","264.07","LRP264","5400","265.41","1.340","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","45","NA",17627.096
"83","N1","Patiya (Int.with Z1039)-Khanhat Int.with Z1026","LRP264","5400","265.41","LRP277","1763","274.982","9.572","24.0","1181.0","882.0","802.0","639.0","1307.0","196.0","840.0","4070.0","910.0","819.0","3156.0","0.0","10851.0","3975.0","14826.0","46","NA",17627.096
"84","N1","Khanhat Int.with Z1026 - Hashimpur Z1036","LRP277","1763","274.982","LRP281","700","278.013","3.031","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","47","NA",15616.624
"85","N1","Hashimpur Z1036- Keranirhat N108","LRP281","700","278.013","LRP291","2558","289.612","11.599","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","48","NA",15616.624
"86","N1","Keranirhat N108 - Int.with Z1019","LRP291","2558","289.612","LRP291","2920","289.974","0.362","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","49","NA",15616.624
"87","N1","Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)","LRP291","2920","289.974","LRP299","2769","297.441","7.467","23.0","786.0","1237.0","944.0","92.0","1267.0","109.0","811.0","6505.0","905.0","220.0","843.0","0.0","12679.0","1063.0","13742.0","50","NA",15616.624
"88","N1","Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171","LRP299","2769","297.441","LRP312","171","307.582","10.141","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","51","NA",20857.692
"89","N1","Chunati R171 - Aziznagar Z1007","LRP312","171","307.582","LRP320","308","315.728","8.146","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","52","NA",20857.692
"90","N1","Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124)","LRP320","308","315.728","LRP321","63","316.356","0.628","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","53","NA",20857.692
"91","N1","Harbang (Int.with Z1124) - Ekatabazar Z1125","LRP321","63","316.356","LRP328","485","323.842","7.486","42.0","2364.0","1215.0","1015.0","787.0","2025.0","345.0","1013.0","1668.0","779.0","642.0","728.0","0.0","11253.0","1370.0","12623.0","54","NA",20857.692
"92","N1","Ekatabazar Z1125 - Baraitali Int.with Z1002","LRP328","485","323.842","LRP331","844","327.188","3.346","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","55","NA",9781.468
"93","N1","Baraitali Int.with Z1002-Int.with Z1126","LRP331","844","327.188","LRP335","500","330.874","3.686","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","56","NA",9781.468
"94","N1","Int.with Z1126-Janatabazar (Int.with Z1127)","LRP335","500","330.874","LRP336","764","332.066","1.192","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","57","NA",9781.468
"95","N1","Janatabazar (Int.with Z1127) - Chokoria R172","LRP336","764","332.066","LRP336","1575","332.877","0.811","44.0","774.0","249.0","749.0","144.0","1058.0","202.0","661.0","1133.0","552.0","233.0","267.0","0.0","5566.0","500.0","6066.0","58","NA",9781.468
"96","N1","Chokoria R172 - Faishakhali Z1005","LRP336","1575","332.877","LRP341","852","337.31","4.433","39.0","1009.0","549.0","784.0","238.0","1018.0","165.0","318.0","2511.0","1443.0","428.0","4183.0","0.0","8074.0","4611.0","12685.0","59","NA",14367.676
"97","N1","Faishakhali Z1005- Dulahazra Z1130","LRP341","852","337.31","LRP348","96","343.559","6.249","35.0","595.0","159.0","412.0","136.0","760.0","118.0","109.0","1548.0","403.0","118.0","450.0","0.0","4275.0","568.0","4843.0","60","NA",6977.916
"98","N1","Dulahazra Z1130-Khutakhali Z1131","LRP348","96","343.559","LRP354","509","350.054","6.495","35.0","595.0","159.0","412.0","136.0","760.0","118.0","109.0","1548.0","403.0","118.0","450.0","0.0","4275.0","568.0","4843.0","61","NA",6977.916
"99","N1","Khutakhali Z1131 - Ramu (Int.with Z1001)","LRP354","509","350.054","LRP376","57","370.982","20.928","35.0","595.0","159.0","412.0","136.0","760.0","118.0","109.0","1548.0","403.0","118.0","450.0","0.0","4275.0","568.0","4843.0","62","NA",6977.916
"100","N1","Ramu (Int.with Z1001)-Ramu Intersection N109","LRP376","57","370.982","LRP378","593","373.475","2.493","35.0","595.0","159.0","412.0","136.0","760.0","118.0","109.0","1548.0","403.0","118.0","450.0","0.0","4275.0","568.0","4843.0","63","NA",6977.916
"101","N1","Ramu Intersection N109 - Coxsbazar Link Road N110","LRP378","593","373.475","LRP386","724","381.481","8.006","35.0","595.0","159.0","412.0","136.0","760.0","118.0","109.0","1548.0","403.0","118.0","450.0","0.0","4275.0","568.0","4843.0","64","NA",6977.916
"102","N1","Coxsbazar Link Road N110-Maricha Z1009","LRP386","724","381.481","LRP403","217","398.205","16.724","24.0","455.0","137.0","129.0","200.0","568.0","131.0","142.0","2476.0","419.0","97.0","1042.0","0.0","4681.0","1139.0","5820.0","65","NA",6342.588
"103","N1","Maricha Z1009-Ukhia Dakbanglo Z1503","LRP403","217","398.205","LRP413","300","408.434","10.229","24.0","455.0","137.0","129.0","200.0","568.0","131.0","142.0","2476.0","419.0","97.0","1042.0","0.0","4681.0","1139.0","5820.0","66","NA",6342.588
"104","N1","Ukhia Dakbanglo Z1503 - Gundum Z1504","LRP413","300","408.434","LRP420","900","416.044","7.610","24.0","455.0","137.0","129.0","200.0","568.0","131.0","142.0","2476.0","419.0","97.0","1042.0","0.0","4681.0","1139.0","5820.0","67","NA",6342.588
"105","N1","GundumGundum Z1504 - Whykong Z1133","LRP420","900","416.044","LRP433","521","428.908","12.864","24.0","455.0","137.0","129.0","200.0","568.0","131.0","142.0","2476.0","419.0","97.0","1042.0","0.0","4681.0","1139.0","5820.0","68","NA",6342.588
"106","N1","Whykong Z1133 - Teknaf","LRP433","521","428.908","LRP467","130","462.254","33.346","24.0","455.0","137.0","129.0","200.0","568.0","131.0","142.0","2476.0","419.0","97.0","1042.0","0.0","4681.0","1139.0","5820.0","69","NA",6342.588
"107","N123","Bariyerhat-Joraganj (Int.with Z1084)","LRPS","0","0","LRP004","1320","4.65","4.650","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","1","NA",NA
"108","N123","Joraganj (Int.with Z1084)-Int.with N1","LRP004","1320","4.65","LRPE","0","8.06","3.410","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","NS","2","NA",NA
"109","N2","Katchpur-Tarabo (Int with R201)","LRPS","0","0","LRP002","1147","2.313","2.313","239.0","4475.0","1996.0","3707.0","794.0","3417.0","446.0","3024.0","4643.0","567.0","409.0","942.0","0.0","23308.0","1351.0","24659.0","1","NA",43056.108
"110","N2","Tarabo(Int with R 201)-Barpa(Int. with Z1090 LGED Road)","LRP002","1147","2.313","LRP006","900","6.076","3.763","227.0","4684.0","1904.0","1466.0","1026.0","1513.0","637.0","1458.0","3517.0","813.0","190.0","522.0","0.0","17245.0","712.0","17957.0","2","NA",29883.992
"111","N2","Barpa(Int. with Z1090 LGED Road)-Bhulta (Int.with R202)","LRP006","900","6.076","LRP011","915","11.111","5.035","237.0","4415.0","1904.0","1451.0","1018.0","1422.0","659.0","1473.0","4094.0","1075.0","393.0","3205.0","0.0","17748.0","3598.0","21346.0","3","NA",31285.04
"112","N2","Bhulta (Int.with R202)-Bhulta (Int.with R203)","LRP011","915","11.111","LRP011","1781","11.977","0.866","237.0","4415.0","1904.0","1451.0","1018.0","1422.0","659.0","1473.0","4094.0","1075.0","393.0","3205.0","0.0","17748.0","3598.0","21346.0","4","NA",31285.04
"113","N2","Bhulta (Int.with R203)-Panchdona (Int.with R301)","LRP011","1781","11.977","LRP030","999","30.225","18.248","244.0","1432.0","1041.0","961.0","1220.0","1068.0","152.0","1098.0","3128.0","899.0","218.0","1142.0","0.0","11243.0","1360.0","12603.0","5","NA",18494.876
"114","N2","Panchdona-Shahepratap(Int.with R210)","LRP030","999","30.225","LRP033","1280","33.536","3.311","70.0","1743.0","976.0","2192.0","437.0","1319.0","84.0","1392.0","2708.0","1305.0","304.0","651.0","0.0","12226.0","955.0","13181.0","6","NA",21134.896
"115","N2","Shahepratap(Int.with R210)-Itakhola(Int.with R211)","LRP033","1280","33.536","LRP042","1831","43.097","9.561","70.0","1743.0","976.0","2192.0","437.0","1319.0","84.0","1392.0","2708.0","1305.0","304.0","651.0","0.0","12226.0","955.0","13181.0","7","NA",21134.896
"116","N2","Itakhola-Morgal (Int.with Z2042)","LRP042","1831","43.097","LRP055","280","54.606","11.509","201.0","2039.0","974.0","1779.0","222.0","1030.0","242.0","859.0","2158.0","387.0","52.0","64.0","0.0","9891.0","116.0","10007.0","8","NA",17924.104
"117","N2","Morgal (Int.with Z2042)-Narayanpur (Int.with Z2032)","LRP055","280","54.606","LRP064","621","63.969","9.363","436.0","1971.0","896.0","1936.0","87.0","1104.0","266.0","808.0","3037.0","610.0","153.0","489.0","0.0","11151.0","642.0","11793.0","9","NA",19753.18
"118","N2","Narayanpur (Int.with Z2032)-Bhairab (Int.with R360)","LRP064","621","63.969","LRP069","2478","70.576","6.607","436.0","1971.0","896.0","1936.0","87.0","1104.0","266.0","808.0","3037.0","610.0","153.0","489.0","0.0","11151.0","642.0","11793.0","10","NA",19753.18
"119","N2","Bhairab (Int.with R360)-Ashuganj (Int.with Z2031)","LRP069","2478","70.576","LRP069","5435","73.533","2.957","436.0","1971.0","896.0","1936.0","87.0","1104.0","266.0","808.0","3037.0","610.0","153.0","489.0","0.0","11151.0","642.0","11793.0","11","NA",19753.18
"120","N2","Ashuganj (Int.with Z2031)-Kathirhat, Sarail (Int.with N102)","LRP069","5435","73.533","LRP086","710","85.823","12.290","329.0","1465.0","1081.0","1000.0","217.0","598.0","118.0","534.0","3351.0","690.0","389.0","843.0","0.0","9383.0","1232.0","10615.0","12","NA",14674.08
"121","N2","Kathirhat, Sarail (Int.with N102)-Sarail (Int.with R220)","LRP086","710","85.823","LRP086","1300","86.413","0.590","205.0","2203.0","596.0","1632.0","294.0","1402.0","162.0","398.0","3816.0","331.0","164.0","443.0","0.0","11039.0","607.0","11646.0","13","NA",19322.804
"122","N2","Sarail (Int.with R220)-Jagadishpur(Int.with N204)","LRP086","1300","86.413","LRP117","378","116.294","29.881","205.0","2203.0","596.0","1632.0","294.0","1402.0","162.0","398.0","3816.0","331.0","164.0","443.0","0.0","11039.0","607.0","11646.0","14","NA",19322.804
"123","N2","Jagadishpur(Int.with N204)-Shaistaganj (Int.with N204)","LRP117","378","116.294","LRP142","278","141.309","25.015","270.0","1818.0","958.0","1045.0","179.0","1178.0","196.0","764.0","1170.0","493.0","53.0","79.0","0.0","8071.0","132.0","8203.0","15","NA",14884.472
"124","N2","Shaistaganj (Int.with N204)-Mirpur (Int.with N207)","LRP142","278","141.309","LRP146","920","145.961","4.652","206.0","4176.0","708.0","1765.0","178.0","1494.0","298.0","1159.0","1975.0","721.0","170.0","415.0","0.0","12680.0","585.0","13265.0","16","NA",24487.252
"125","N2","Mirpur (Int.with N207)-Auskandi (Int.with R240)","LRP146","920","145.961","LRP182","527","181.657","35.696","338.0","1131.0","391.0","888.0","54.0","964.0","296.0","1058.0","1784.0","325.0","68.0","162.0","33.0","7229.0","263.0","7492.0","17","NA",12310.288
"126","N2","Auskandi (Int.with R240)-Auskandi (Int.with R241)","LRP182","527","181.657","LRP186","600","185.77","4.113","338.0","1131.0","391.0","888.0","54.0","964.0","296.0","1058.0","1784.0","325.0","68.0","162.0","33.0","7229.0","263.0","7492.0","18","NA",12310.288
"127","N2","Auskandi (Int.with R241)-Sherpur (Int.with N207)","LRP186","600","185.77","LRP191","672","190.892","5.122","321.0","669.0","504.0","961.0","36.0","911.0","183.0","621.0","1932.0","386.0","197.0","353.0","6.0","6524.0","556.0","7080.0","19","NA",11079.1
"128","N2","Sherpur (Int.with N207)-Tajpur(Int.with Z2022)","LRP191","672","190.892","LRP205","750","205.083","14.191","321.0","669.0","504.0","961.0","36.0","911.0","183.0","621.0","1932.0","386.0","197.0","353.0","6.0","6524.0","556.0","7080.0","20","NA",11079.1
"129","N2","Tajpur(Int.with Z2022)-Rashidpur(Int.with Z2016)","LRP205","750","205.083","LRP216","414","215.832","10.749","198.0","1089.0","529.0","1163.0","412.0","1183.0","455.0","991.0","3948.0","846.0","329.0","546.0","0.0","10814.0","875.0","11689.0","21","NA",16296.696
"130","N2","Rashidpur(Int.with Z2016)-Int.with R283","LRP216","414","215.832","LRP224","571","224.044","8.212","198.0","1089.0","529.0","1163.0","412.0","1183.0","455.0","991.0","3948.0","846.0","329.0","546.0","0.0","10814.0","875.0","11689.0","22","NA",16296.696
"131","N2","Int.with R283-Chandipole (Int.with Z2013)","LRP224","571","224.044","LRP225","900","225.373","1.329","83.0","613.0","573.0","441.0","405.0","1002.0","49.0","356.0","3665.0","447.0","367.0","579.0","0.0","7634.0","946.0","8580.0","23","NA",10677.044
"132","N2","Chandipole (Int.with Z2013)-Mominkhola (Int.with N208)","LRP225","900","225.373","LRP226","2264","227.757","2.384","83.0","613.0","573.0","441.0","405.0","1002.0","49.0","356.0","3665.0","447.0","367.0","579.0","0.0","7634.0","946.0","8580.0","24","NA",10677.044
"133","N2","Mominkhola (Int.with N208)-Nayarpool(Int.with N206)","LRP226","2264","227.757","LRP229","2095","229.888","2.131","83.0","613.0","573.0","441.0","405.0","1002.0","49.0","356.0","3665.0","447.0","367.0","579.0","0.0","7634.0","946.0","8580.0","25","NA",10677.044
"134","N2","Nayarpool(Int.with N206)-Int. with N210","LRP229","2095","229.888","LRP238","1040","237.923","8.035","466.0","1425.0","360.0","8.0","190.0","1010.0","119.0","337.0","653.0","525.0","139.0","328.0","0.0","5093.0","467.0","5560.0","26","NA",9729.312
"135","N2","Int. with N210-Darbast(Int. with Z2011)","LRP238","1040","237.923","LRP263","129","262.122","24.199","466.0","1425.0","360.0","8.0","190.0","1010.0","119.0","337.0","653.0","525.0","139.0","328.0","0.0","5093.0","467.0","5560.0","27","NA",9729.312
"136","N2","Darbast(Int. with Z2011)-Tamabil(Int.with N212)","LRP263","129","262.122","LRP282","1155","282.098","19.976","453.0","1322.0","435.0","7.0","269.0","910.0","131.0","335.0","874.0","372.0","203.0","356.0","0.0","5108.0","559.0","5667.0","28","NA",9569.204
"137","N2","Tamabil(Int.with N212)-Jaflong","LRP282","1155","282.098","LRP287","578","286.516","4.418","462.0","1142.0","427.0","17.0","264.0","817.0","131.0","318.0","753.0","412.0","186.0","311.0","0.0","4743.0","497.0","5240.0","29","NA",8846.12
"138","N302","Abdullahpur-Rana Bhola (Int.with R303)","LRPS","0","0","LRPS","2375","2.375","2.375","474.0","5981.0","3318.0","1897.0","2101.0","2439.0","916.0","5383.0","2463.0","1705.0","81.0","659.0","0.0","26677.0","740.0","27417.0","1","NA",45650.188
"139","N302","Rana Bhola (Int.with R303)-Dhaur (Int.with N501)","LRPS","2375","2.375","LRP005","601","5.514","3.139","236.0","4521.0","3381.0","1977.0","2086.0","3386.0","839.0","4874.0","1976.0","1197.0","145.0","406.0","1.0","24473.0","552.0","25025.0","2","NA",42741.916
"140","N302","Dhaur (Int.with N501)-Ashulia(Int.with N511)","LRP005","601","5.514","LRP008","757","8.73","3.216","284.0","4946.0","3587.0","1975.0","1766.0","2501.0","1098.0","5443.0","2456.0","1992.0","73.0","832.0","0.0","26048.0","905.0","26953.0","3","NA",42922.08
"141","N302","Ashulia(Int.with N511)-Zerabo (Int.with Z3007)","LRP008","757","8.73","LRP008","3397","11.37","2.640","284.0","4946.0","3587.0","1975.0","1766.0","2501.0","1098.0","5443.0","2456.0","1992.0","73.0","832.0","0.0","26048.0","905.0","26953.0","4","NA",42922.08
"142","N302","Zerabo(Int.with Z3007)-EPZ (Baipile Bazar)","LRP008","3397","11.37","LRPE","0","17.555","6.185","289.0","4476.0","2925.0","1951.0","1897.0","2624.0","834.0","4892.0","2224.0","1812.0","428.0","4000.0","0.0","23924.0","4428.0","28352.0","5","NA",42793.292
"143","R151","Baraiyerhat (road start, int with N1) - Karerhat (int with Z1031)","LRPS","0","0","LRP004","1080","4.69","4.690","0.0","714.0","355.0","165.0","113.0","138.0","25.0","95.0","1300.0","224.0","62.0","0.0","0.0","3129.0","62.0","3191.0","1","NA",4281.984
"144","R151","Karerhat (int with Z1031) - Heako (int with R152)","LRP004","1080","4.69","LRP017","3323","20.063","15.373","0.0","714.0","355.0","165.0","113.0","138.0","25.0","95.0","1300.0","224.0","62.0","0.0","0.0","3129.0","62.0","3191.0","2","NA",4281.984
"145","R151","Heako (int with R152) - Narayanhat (int with Z1021)","LRP017","3559","20.299","LRP031","834","31.339","11.040","0.0","163.0","84.0","0.0","37.0","122.0","0.0","31.0","319.0","109.0","37.0","53.0","0.0","865.0","90.0","955.0","3","NA",1213.46
"146","R151","Narayanhat (int with Z1021) - Haidchakia (int with R160 & Z1086)","LRP032","152","31.657","LRP048","80","47.702","16.045","0.0","406.0","208.0","0.0","69.0","224.0","0.0","61.0","623.0","202.0","73.0","110.0","0.0","1793.0","183.0","1976.0","4","NA",2576.676
"147","R821","Sreenagar (int.with N8)-Sreenagar Bazar(int.with R820)","LRPS","0","0","LRPS","1285","1.285","1.285","0.0","117.0","84.0","149.0","192.0","90.0","34.0","55.0","2446.0","851.0","274.0","1132.0","0.0","4018.0","1406.0","5424.0","1","NA",4483.404
"148","Z1447","Int.with Z1422-int.with Z1422 & R142","LRPS","0","0","LRP001","785","0.84","0.840","0.0","11.0","65.0","0.0","0.0","12.0","6.0","5.0","522.0","268.0","382.0","166.0","3.0","889.0","551.0","1440.0","1","NA",947.368
"149","Z3003","Abdullahpur(int.with N3) -Teirmukh(int.with N105)","LRPS","0","0","LRPS","10123","10.123","10.123","0.0","0.0","16.0","0.0","0.0","14.0","0.0","18.0","494.0","161.0","105.0","54.0","0.0","703.0","159.0","862.0","1","NA",563.8
"150","Z3007","Zerabo-Tajpur Diakhali Madrasha","LRPS","0","0","LRP006","772","5.742","5.742","0.0","434.0","188.0","0.0","0.0","622.0","0.0","720.0","2081.0","758.0","186.0","1706.0","0.0","4803.0","1892.0","6695.0","1","NA",6365.656
